module	selected	available	explicit_requirement	go_mod_why
4d63.com/gocheckcompilerdirectives	v1.3.0	v1.4.0	false	(main module does not need module 4d63.com/gocheckcompilerdirectives)
charm.land/lipgloss/v2	v2.0.3	v2.0.5	false	(main module does not need module charm.land/lipgloss/v2)
codeberg.org/chavacava/garif	v0.2.0	v0.2.1	false	(main module does not need module codeberg.org/chavacava/garif)
dev.gaijin.team/go/golib	v0.6.0	v0.8.1	false	(main module does not need module dev.gaijin.team/go/golib)
github.com/Abirdcfly/dupword	v0.1.7	v0.1.8	false	(main module does not need module github.com/Abirdcfly/dupword)
github.com/Antonboom/errname	v1.1.1	v1.1.2	false	(main module does not need module github.com/Antonboom/errname)
github.com/Antonboom/nilnil	v1.1.1	v1.1.2	false	(main module does not need module github.com/Antonboom/nilnil)
github.com/ClickHouse/clickhouse-go-linter	v1.2.0	v1.2.1	false	(main module does not need module github.com/ClickHouse/clickhouse-go-linter)
github.com/HdrHistogram/hdrhistogram-go	v1.1.2	v1.3.0	false	(main module does not need module github.com/HdrHistogram/hdrhistogram-go)
github.com/ThalesGroup/crypto11	v1.5.0	v1.6.8	false	(main module does not need module github.com/ThalesGroup/crypto11)
github.com/aclements/go-moremath	v0.0.0-20210112150236-f10218a38794	v0.0.0-20241023150245-c8bbc672ef66	false	(main module does not need module github.com/aclements/go-moremath)
github.com/alecthomas/chroma/v2	v2.24.1	v2.27.0	false	(main module does not need module github.com/alecthomas/chroma/v2)
github.com/aws/aws-sdk-go-v2/internal/ini	v1.8.1	v1.8.6	false	(main module does not need module github.com/aws/aws-sdk-go-v2/internal/ini)
github.com/butuzov/mirror	v1.3.0	v1.3.3	false	(main module does not need module github.com/butuzov/mirror)
github.com/charmbracelet/ultraviolet	v0.0.0-20251205161215-1948445e3318	v0.0.0-20260803092147-8b693049ce2a	false	(main module does not need module github.com/charmbracelet/ultraviolet)
github.com/creack/pty	v1.1.9	v1.1.24	false	(main module does not need module github.com/creack/pty)
github.com/daixiang0/gci	v0.13.7	v0.14.0	false	(main module does not need module github.com/daixiang0/gci)
github.com/dave/dst	v0.27.3	v0.27.4	false	(main module does not need module github.com/dave/dst)
github.com/firefart/nonamedreturns	v1.0.6	v1.0.8	false	(main module does not need module github.com/firefart/nonamedreturns)
github.com/fsnotify/fsnotify	v1.5.4	v1.10.1	false	(main module does not need module github.com/fsnotify/fsnotify)
github.com/ghostiam/protogetter	v0.3.20	v0.3.21	false	(main module does not need module github.com/ghostiam/protogetter)
github.com/go-critic/go-critic	v0.14.3	v0.14.4	false	(main module does not need module github.com/go-critic/go-critic)
github.com/go-ini/ini	v1.67.0	v1.67.3	false	(main module does not need module github.com/go-ini/ini)
github.com/goccy/go-json	v0.10.5	v0.10.6	false	(main module does not need module github.com/goccy/go-json)
github.com/gogo/status	v1.1.0	v1.1.1	false	(main module does not need module github.com/gogo/status)
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da	v0.0.0-20241129210726-2c02b8208cf8	false	(main module does not need module github.com/golang/groupcache)
github.com/golangci/gofmt	v0.0.0-20250106114630-d62b90e6713d	v0.0.0-20251215234548-e7be49a5ab4d	false	(main module does not need module github.com/golangci/gofmt)
github.com/golangci/rowserrcheck	v0.0.0-20260419091836-c5f79b8a11ba	v0.0.0-20260801150524-d2031e3af752	false	(main module does not need module github.com/golangci/rowserrcheck)
github.com/guptarohit/asciigraph	v0.5.5	v0.10.0	false	(main module does not need module github.com/guptarohit/asciigraph)
github.com/jgautheron/goconst	v1.10.0	v1.11.0	false	(main module does not need module github.com/jgautheron/goconst)
github.com/kisielk/errcheck	v1.10.0	v1.20.0	false	(main module does not need module github.com/kisielk/errcheck)
github.com/ldez/gomoddirectives	v0.8.0	v0.9.0	false	(main module does not need module github.com/ldez/gomoddirectives)
github.com/magiconair/properties	v1.8.6	v1.18.11	false	(main module does not need module github.com/magiconair/properties)
github.com/mattn/go-colorable	v0.1.14	v0.1.15	false	(main module does not need module github.com/mattn/go-colorable)
github.com/miekg/pkcs11	v1.1.1	v1.1.2	false	(main module does not need module github.com/miekg/pkcs11)
github.com/montanaflynn/stats	v0.7.0	v0.12.2	false	(main module does not need module github.com/montanaflynn/stats)
github.com/nunnatsa/ginkgolinter	v0.23.0	v0.23.1	false	(main module does not need module github.com/nunnatsa/ginkgolinter)
github.com/olekukonko/tablewriter	v0.0.5	v1.1.4	false	(main module does not need module github.com/olekukonko/tablewriter)
github.com/pelletier/go-toml/v2	v2.3.1	v2.4.3	false	(main module does not need module github.com/pelletier/go-toml/v2)
github.com/pkg/diff	v0.0.0-20210226163009-20ebb0f2a09e	v0.0.0-20241224192749-4e6772a4315c	false	(main module does not need module github.com/pkg/diff)
github.com/raeperd/recvcheck	v0.2.0	v0.3.0	false	(main module does not need module github.com/raeperd/recvcheck)
github.com/securego/gosec/v2	v2.26.1	v2.28.0	false	(main module does not need module github.com/securego/gosec/v2)
github.com/sony/gobreaker	v0.5.0	v1.0.0	false	(main module does not need module github.com/sony/gobreaker)
github.com/spf13/cast	v1.5.0	v1.10.0	false	(main module does not need module github.com/spf13/cast)
github.com/spf13/viper	v1.12.0	v1.21.0	false	(main module does not need module github.com/spf13/viper)
github.com/stretchr/objx	v0.5.2	v0.5.3	false	(main module does not need module github.com/stretchr/objx)
github.com/subosito/gotenv	v1.4.1	v1.6.0	false	(main module does not need module github.com/subosito/gotenv)
github.com/tencentcloud/tencentcloud-sdk-go/tencentcloud/common	v1.0.563	v1.3.153	false	(main module does not need module github.com/tencentcloud/tencentcloud-sdk-go/tencentcloud/common)
github.com/tencentcloud/tencentcloud-sdk-go/tencentcloud/kms	v1.0.563	v1.3.152	false	(main module does not need module github.com/tencentcloud/tencentcloud-sdk-go/tencentcloud/kms)
github.com/tencentyun/qcloud-cos-sts-sdk	v0.0.0-20250515025012-e0eec8a5d123	v0.0.0-20251226100129-1701383cae15	false	(main module does not need module github.com/tencentyun/qcloud-cos-sts-sdk)
github.com/timakin/bodyclose	v0.0.0-20260129054331-73d1f95b84b4	v0.0.0-20260723120731-857993a2939c	false	(main module does not need module github.com/timakin/bodyclose)
github.com/uudashr/iface	v1.4.2	v1.5.0	false	(main module does not need module github.com/uudashr/iface)
github.com/yuin/goldmark	v1.4.13	v1.8.5	false	(main module does not need module github.com/yuin/goldmark)
go.augendre.info/fatcontext	v0.9.0	v0.10.0	false	(main module does not need module go.augendre.info/fatcontext)
go.opentelemetry.io/proto/otlp	v1.9.0	v1.11.0	false	(main module does not need module go.opentelemetry.io/proto/otlp)
go.uber.org/multierr	v1.10.0	v1.11.0	false	(main module does not need module go.uber.org/multierr)
go.uber.org/zap	v1.27.0	v1.28.0	false	(main module does not need module go.uber.org/zap)
golang.org/x/exp/typeparams	v0.0.0-20260209203927-2842357ff358	v0.0.0-20260727155853-b88d891fe743	false	(main module does not need module golang.org/x/exp/typeparams)
golang.org/x/perf	v0.0.0-20251112180420-cfbd823f7301	v0.0.0-20260709024250-82a0b07e230d	false	(main module does not need module golang.org/x/perf)
