+-------------------------------------------------------------------------------------+--------------------------------------+------------------------------------+--------+------------------+
|                                       MODULE                                        |               VERSION                |            NEW VERSION             | DIRECT | VALID TIMESTAMPS |
+-------------------------------------------------------------------------------------+--------------------------------------+------------------------------------+--------+------------------+
| 4d63.com/gocheckcompilerdirectives                                                  | v1.3.0                               | v1.4.0                             | false  | true             |
| 4d63.com/gochecknoglobals                                                           | v0.2.2                               |                                    | false  | true             |
| cel.dev/expr                                                                        | v0.25.2                              |                                    | false  | true             |
| charm.land/lipgloss/v2                                                              | v2.0.3                               | v2.0.5                             | false  | true             |
| cloud.google.com/go                                                                 | v0.123.0                             |                                    | false  | true             |
| cloud.google.com/go/accessapproval                                                  | v1.13.0                              |                                    | false  | true             |
| cloud.google.com/go/accesscontextmanager                                            | v1.15.0                              |                                    | false  | true             |
| cloud.google.com/go/aiplatform                                                      | v1.126.0                             |                                    | false  | true             |
| cloud.google.com/go/analytics                                                       | v0.36.1                              |                                    | false  | true             |
| cloud.google.com/go/apigateway                                                      | v1.13.0                              |                                    | false  | true             |
| cloud.google.com/go/apigeeconnect                                                   | v1.12.0                              |                                    | false  | true             |
| cloud.google.com/go/apigeeregistry                                                  | v1.1.0                               |                                    | false  | true             |
| cloud.google.com/go/appengine                                                       | v1.15.0                              |                                    | false  | true             |
| cloud.google.com/go/area120                                                         | v0.15.0                              |                                    | false  | true             |
| cloud.google.com/go/artifactregistry                                                | v1.26.0                              |                                    | false  | true             |
| cloud.google.com/go/asset                                                           | v1.28.0                              |                                    | false  | true             |
| cloud.google.com/go/assuredworkloads                                                | v1.19.0                              |                                    | false  | true             |
| cloud.google.com/go/auth                                                            | v0.22.0                              |                                    | false  | true             |
| cloud.google.com/go/auth/oauth2adapt                                                | v0.2.8                               |                                    | false  | true             |
| cloud.google.com/go/automl                                                          | v1.21.0                              |                                    | false  | true             |
| cloud.google.com/go/baremetalsolution                                               | v1.10.0                              |                                    | false  | true             |
| cloud.google.com/go/batch                                                           | v1.21.0                              |                                    | false  | true             |
| cloud.google.com/go/beyondcorp                                                      | v1.8.0                               |                                    | false  | true             |
| cloud.google.com/go/bigquery                                                        | v1.79.0                              |                                    | false  | true             |
| cloud.google.com/go/billing                                                         | v1.26.0                              |                                    | false  | true             |
| cloud.google.com/go/binaryauthorization                                             | v1.16.0                              |                                    | false  | true             |
| cloud.google.com/go/certificatemanager                                              | v1.15.0                              |                                    | false  | true             |
| cloud.google.com/go/channel                                                         | v1.27.0                              |                                    | false  | true             |
| cloud.google.com/go/cloudbuild                                                      | v1.32.0                              |                                    | false  | true             |
| cloud.google.com/go/clouddms                                                        | v1.14.0                              |                                    | false  | true             |
| cloud.google.com/go/cloudtasks                                                      | v1.19.0                              |                                    | false  | true             |
| cloud.google.com/go/compute                                                         | v1.65.0                              |                                    | false  | true             |
| cloud.google.com/go/compute/metadata                                                | v0.9.0                               |                                    | false  | true             |
| cloud.google.com/go/contactcenterinsights                                           | v1.23.0                              |                                    | false  | true             |
| cloud.google.com/go/container                                                       | v1.53.1                              |                                    | false  | true             |
| cloud.google.com/go/containeranalysis                                               | v0.19.0                              |                                    | false  | true             |
| cloud.google.com/go/datacatalog                                                     | v1.33.0                              |                                    | false  | true             |
| cloud.google.com/go/dataflow                                                        | v0.16.0                              |                                    | false  | true             |
| cloud.google.com/go/dataform                                                        | v1.2.0                               |                                    | false  | true             |
| cloud.google.com/go/datafusion                                                      | v1.14.0                              |                                    | false  | true             |
| cloud.google.com/go/datalabeling                                                    | v0.15.0                              |                                    | false  | true             |
| cloud.google.com/go/dataplex                                                        | v1.36.0                              |                                    | false  | true             |
| cloud.google.com/go/dataproc/v2                                                     | v2.25.0                              |                                    | false  | true             |
| cloud.google.com/go/dataqna                                                         | v0.13.0                              |                                    | false  | true             |
| cloud.google.com/go/datastream                                                      | v1.21.0                              |                                    | false  | true             |
| cloud.google.com/go/deploy                                                          | v1.33.0                              |                                    | false  | true             |
| cloud.google.com/go/dialogflow                                                      | v1.85.0                              |                                    | false  | true             |
| cloud.google.com/go/dlp                                                             | v1.36.1                              |                                    | false  | true             |
| cloud.google.com/go/documentai                                                      | v1.49.0                              |                                    | false  | true             |
| cloud.google.com/go/domains                                                         | v0.16.0                              |                                    | false  | true             |
| cloud.google.com/go/edgecontainer                                                   | v1.10.0                              |                                    | false  | true             |
| cloud.google.com/go/errorreporting                                                  | v0.9.0                               |                                    | false  | true             |
| cloud.google.com/go/essentialcontacts                                               | v1.12.0                              |                                    | false  | true             |
| cloud.google.com/go/eventarc                                                        | v1.25.0                              |                                    | false  | true             |
| cloud.google.com/go/filestore                                                       | v1.16.0                              |                                    | false  | true             |
| cloud.google.com/go/functions                                                       | v1.25.0                              |                                    | false  | true             |
| cloud.google.com/go/gkebackup                                                       | v1.14.0                              |                                    | false  | true             |
| cloud.google.com/go/gkeconnect                                                      | v1.0.0                               |                                    | false  | true             |
| cloud.google.com/go/gkehub                                                          | v0.22.0                              |                                    | false  | true             |
| cloud.google.com/go/gkemulticloud                                                   | v1.13.0                              |                                    | false  | true             |
| cloud.google.com/go/gsuiteaddons                                                    | v1.12.0                              |                                    | false  | true             |
| cloud.google.com/go/iam                                                             | v1.12.0                              |                                    | false  | true             |
| cloud.google.com/go/iap                                                             | v1.17.0                              |                                    | false  | true             |
| cloud.google.com/go/ids                                                             | v1.11.0                              |                                    | false  | true             |
