+-------------------------------------------------------------------------------------+-------------------------------------------+------------------------------------+--------+------------------+
|                                       MODULE                                        |                  VERSION                  |            NEW VERSION             | DIRECT | VALID TIMESTAMPS |
+-------------------------------------------------------------------------------------+-------------------------------------------+------------------------------------+--------+------------------+
| cel.dev/expr                                                                        | v0.19.2                                   | v0.25.2                            | false  | true             |
| cloud.google.com/go                                                                 | v0.118.1                                  | v0.123.0                           | false  | true             |
| cloud.google.com/go/accessapproval                                                  | v1.8.3                                    | v1.13.0                            | false  | true             |
| cloud.google.com/go/accesscontextmanager                                            | v1.9.3                                    | v1.15.0                            | false  | true             |
| cloud.google.com/go/aiplatform                                                      | v1.70.0                                   | v1.126.0                           | false  | true             |
| cloud.google.com/go/analytics                                                       | v0.25.3                                   | v0.36.1                            | false  | true             |
| cloud.google.com/go/apigateway                                                      | v1.7.3                                    | v1.13.0                            | false  | true             |
| cloud.google.com/go/apigeeconnect                                                   | v1.7.3                                    | v1.12.0                            | false  | true             |
| cloud.google.com/go/apigeeregistry                                                  | v0.9.3                                    | v1.1.0                             | false  | true             |
| cloud.google.com/go/appengine                                                       | v1.9.3                                    | v1.15.0                            | false  | true             |
| cloud.google.com/go/area120                                                         | v0.9.3                                    | v0.15.0                            | false  | true             |
| cloud.google.com/go/artifactregistry                                                | v1.16.1                                   | v1.26.0                            | false  | true             |
| cloud.google.com/go/asset                                                           | v1.20.4                                   | v1.28.0                            | false  | true             |
| cloud.google.com/go/assuredworkloads                                                | v1.12.3                                   | v1.19.0                            | false  | true             |
| cloud.google.com/go/auth                                                            | v0.14.1                                   | v0.22.0                            | false  | true             |
| cloud.google.com/go/auth/oauth2adapt                                                | v0.2.7                                    | v0.2.8                             | false  | true             |
| cloud.google.com/go/automl                                                          | v1.14.4                                   | v1.21.0                            | false  | true             |
| cloud.google.com/go/baremetalsolution                                               | v1.3.3                                    | v1.10.0                            | false  | true             |
| cloud.google.com/go/batch                                                           | v1.11.5                                   | v1.21.0                            | false  | true             |
| cloud.google.com/go/beyondcorp                                                      | v1.1.3                                    | v1.8.0                             | false  | true             |
| cloud.google.com/go/bigquery                                                        | v1.66.0                                   | v1.79.0                            | false  | true             |
| cloud.google.com/go/bigtable                                                        | v1.35.0                                   | v1.52.0                            | false  | true             |
| cloud.google.com/go/billing                                                         | v1.20.1                                   | v1.26.0                            | false  | true             |
| cloud.google.com/go/binaryauthorization                                             | v1.9.3                                    | v1.16.0                            | false  | true             |
| cloud.google.com/go/certificatemanager                                              | v1.9.3                                    | v1.15.0                            | false  | true             |
| cloud.google.com/go/channel                                                         | v1.19.2                                   | v1.27.0                            | false  | true             |
| cloud.google.com/go/cloudbuild                                                      | v1.20.0                                   | v1.32.0                            | false  | true             |
| cloud.google.com/go/clouddms                                                        | v1.8.3                                    | v1.14.0                            | false  | true             |
| cloud.google.com/go/cloudtasks                                                      | v1.13.3                                   | v1.19.0                            | false  | true             |
| cloud.google.com/go/compute                                                         | v1.31.1                                   | v1.65.0                            | false  | true             |
| cloud.google.com/go/compute/metadata                                                | v0.6.0                                    | v0.9.0                             | false  | true             |
| cloud.google.com/go/contactcenterinsights                                           | v1.17.1                                   | v1.23.0                            | false  | true             |
| cloud.google.com/go/container                                                       | v1.42.1                                   | v1.53.1                            | false  | true             |
| cloud.google.com/go/containeranalysis                                               | v0.13.3                                   | v0.19.0                            | false  | true             |
| cloud.google.com/go/datacatalog                                                     | v1.24.3                                   | v1.33.0                            | false  | true             |
| cloud.google.com/go/dataflow                                                        | v0.10.3                                   | v0.16.0                            | false  | true             |
